8434,8,Microcontroladores,MICROCONTROL,4,83,5
8435,4,Circuitos Elétricos,CIRC ELÉTRIC,2,83,5
8436,8,Int. Automação,INT AUTOMAÇÃO,1,17,1
8437,8,Álgebra Linear Aplicada,ALG. LINEAR,1,67,4
8438,9,Desenho Geométrico,DES GEO,4,100,6
8439,9,Álgebra Linear I,ALG LINEAR,5,67,4
8440,9,Pesquisa Aplicada a Matemática,PESQ APLICADA,5,50,3
8441,9,Laboratório Ens. Matemática I,LAB ENS MAT,2,50,3
8442,9,Geometria Euclidiana Plana,GEOM EUCLID,2,67,4
8443,9,Geometria Euclidiana Espacial,GEOM EUC ESP,5,67,4
8444,4,Matemática,MATEMÁTICA,1,50,3
8445,4,Matemática,MATEMÁTICA,3,50,3
8446,6,Matemática Aplicada,MATEMÁTICA,1,50,3
8447,9,Álgebra Vetorial e Geo. Ana.,ALG VET E GEO,3,67,4
8448,9,Cálculo Diferencial  e Integral III,CÁLCULO III,5,83,5
8449,9,Matemática Básica II,MAT BAS II,3,67,4
8450,3,Matemática,MATEMÁTICA,2,50,3
8451,8,Equações Diferenciais,EQ DIFERENC,2,100,6
8452,3,Mecânica dos Solos,MEC SOLOS,3,50,3
8453,3,Materiais de Construção,MAT CONST,3,50,3
8454,7,Materiais de Construção,MAT CONST,3,100,6
8455,5,Tecnologia das Construções II,TEC CONSTR 2,4,33,2
8456,3,Concreto,CONCRETO,4,33,2
8457,3,Topografia,TOPOGRAFIA,2,50,3
8458,5,Topografia,TOPOGRAFIA,2,100,6
8459,3,Planejamento e Orçamento,PLANEJ E ORCAM,4,67,4
8460,3,Estabilidade das Construções,EST CONSTRUC,3,33,2
8461,3,Des. Estrutural (Proj. de Estruturas),DES ESTRUTURAL,3,33,2
8462,5,Des. Estrutural (Proj. de Estruturas),DES ESTRUTURAL,3,33,2
8463,5,Estabilidade das Construções,EST CONSTRUC,3,33,2
8464,3,Instalações Hidrossanitárias,INST HIDROSS,4,67,4
8465,5,Instalações Hidrossanitárias,INST HIDROSS,3,100,6
8466,5,Legislação Aplicada,LEGISLAÇÃO,4,33,2
8467,5,Materiais de Construção,MAT CONST,2,67,4
8468,4,Desenho,DESENHO,1,67,4
8469,3,Desenho Básico e Técnico,DES BAS TÉC,1,33,2
8470,8,Desenho Aplicado a Automação,DES APL AUT,1,83,5
8471,7,Desenho Arquitetônico I,DES ARQUIT 1,3,100,6
8472,7,Des. Instalações Hidrossanitárias,DES INST HIDRO,5,100,6
8473,7,Des. Instalações Elétricas,DES INST ELETR,5,100,6
8474,7,Desenho Auxiliado I,DES AUX I,5,100,6
8475,3,Des. Aplicado Auxiliado por Comp. ,DES AUX COMP,3,33,2
8476,1,Lín. Portuguesa e Lit. Brasileira,PORTUGUES,1,50,3
8477,1,Física,FÍSICA,1,50,3
8478,4,Lín. Portuguesa e Lit. Brasileira,PORTUGUES,1,50,3
8479,1,Lín. Portuguesa e Lit. Brasileira,PORTUGUES,2,50,3
8480,1,Química,QUÍMICA,2,50,3
8482,1,Sistemas Digitais,SIST DIGITAI,2,50,3
8483,1,Eletrônica Analógica,ELET ANALOG,2,50,3
8484,1,Química,QUÍMICA,3,33,2
8485,1,Lab. Sist. Oper. Abertos,LAB SO ABERTOS,3,50,3
8486,1,Montagem e Conf. de Micros,CONF MICRO,3,50,3
8487,1,Filosofia,FILOSOFIA,4,50,3
8488,1,Matemática,MATEMÁTICA,4,83,5
8489,1,Matemática,MATEMÁTICA,3,33,2
8490,3,Química,QUÍMICA,1,50,3
8491,3,Biologia,BIOLOGIA,1,50,3
8492,3,Física,FÍSICA,1,50,3
8493,3,História,HISTÓRIA,1,50,3
8495,3,Química,QUÍMICA,3,33,2
8496,3,Língua Inglesa,INGLÊS,3,50,3
8497,4,Matemática,MATEMÁTICA,2,33,2
8498,4,Biologia,BIOLOGIA,4,67,4
8499,4,História,HISTÓRIA,4,67,4
8500,9,Inglês Instrumental,INGLÊS INST.,1,33,2
8501,8,TCC,TCC,6,50,3
8502,6,Produção Mecânica,PROD MECÂNIC,3,67,4
8503,6,Instal. Elétricas Industriais,INT ELETR IND,3,67,4
8504,5,Instalações Elétricas Prediais,INST ELET PRED,3,67,4
8505,9,Estágio Supervisionado I,ESTÁGIO,5,17,1
8506,3,Tecnologia das Construções II,TEC CONSTR 2,4,50,3
8507,3,Tecnologia das Construções I,TEC CONSTR 1,3,50,3
8508,8,Mecânica Aplicada,MEC. APLICAD,4,50,3
8509,6,Inglês Instrumental,INGLÊS INST.,1,33,2
8510,6,Instalações Elétricas Prediais,INST ELET PRED,3,67,4
8511,5,Desenho Técnico,DES. TÉCNICO,1,67,4
8512,5,Desenho Arquitetônico,DES ARQUIT,2,67,4
8513,5,Projeto Arquitetônico,PROJ ARQUITE,3,67,4
8514,5,Tecnologia das Construções I,TEC CONSTR 1,3,67,4
8515,5,Des. Assistido Computador,DES ASSIS COMP,4,67,4
8516,6,Informática Aplicada,INF APLICADA,2,50,3
8517,3,Desenho Arquitetônico II,DES ARQ II,3,50,3
8518,3,Desenho Arquitetônico I,DES ARQUIT 1,2,50,3
8519,5,Informática Básica,INF. BÁSICA,1,50,3
8520,6,Projetos Elétricos,PROJ ELÉTRIC,2,67,4
8521,6,Metrologia,METROLOGIA,2,33,2
8522,6,Eletrônica Aplicada,ELETRÔN APLI,3,50,3
8523,6,Soldagem,SOLDAGEM,4,50,3
8524,6,Informática / Desenho Básico,INFO / DESENHO,1,67,4
8525,6,Eletricidade Básica,ELETR BÁSICA,1,50,3
8526,6,Português Instrumental,PORTUGUÊS,1,33,2
8527,5,Mecânica dos Solos,MEC SOLOS,4,67,4
8528,3,Des. Básico Auxiliado por Comp.,DES BAS AUX,2,50,3
8529,8,Tecnologia Mecânica,TEC. MECÂNIC,3,50,3
8530,1,Matemática,MATEMÁTICA,1,50,3
8531,1,Química,QUÍMICA,1,50,3
8532,1,Educação Física,ED. FÍSICA,1,50,3
8533,2,Introdução ao Computador,INTR. COMP,1,100,6
8534,2,Português Instrumental,PORTUGUÊS,1,67,4
8535,2,Inglês Instrumental,INGLÊS INST.,1,50,3
8536,2,Matemática Aplicada,MATEMÁTICA,1,100,6
8537,2,Sociedade e Tec. da Informação,SOC E TEC INF,2,50,3
8538,1,Física,FÍSICA,2,50,3
8539,1,Fundamentos de Redes,FUND. REDES,2,50,3
8540,4,Química,QUÍMICA,3,33,2
8541,4,Instalação de Redes,INST DE REDE,3,50,3
8542,4,Máq. e Comandos Elétricos,MAQ E COMANDOS,3,50,3
8543,8,Instal. Elétricas Industriais,INT ELETR IND,4,83,5
8544,3,Matemática,MATEMÁTICA,3,50,3
8545,3,Matemática,MATEMÁTICA,4,67,4
8546,9,Matemática Fundamental ,MAT FUNDAMENT,1,83,5
8547,9,Argumentação Matemática,ARGUMENTAÇÃO,1,83,5
8548,9,Matemática Básica I,MAT BÁSICA 1,2,83,5
8549,9,Cálculo Diferencial  e Integral I,CÁLCULO I,3,83,5
8550,9,Cálculo Diferencial  e Integral II,CÁLCULO II,4,83,5
8551,7,Lín. Portuguesa e Lit. Brasileira,PORTUGUES,1,83,5
8552,7,Matemática,MATEMÁTICA,1,100,6
8553,7,Matemática,MATEMÁTICA,3,50,3
8494,3,Matemática,MATEMÁTICA,1,50,4
8554,5,Português Instrumental,PORTUGUÊS,1,67,4
8555,5,Matemática Aplicada,MATEMÁTICA,1,67,4
8556,5,Planejamento e Orçamento,PLANEJ E ORCAM,4,67,4
8557,5,Empreendedorismo,EMPREED.,4,33,2
8558,7,Lín. Portuguesa e Lit. Brasileira,PORTUGUES,3,33,2
8559,7,Língua Inglesa,INGLÊS,5,33,2
8560,7,Trabalho e Educação,TRAB E EDUC,5,33,2
8561,9,Matemática Básica III,MAT BAS III,4,67,4
8562,9,Probabilidade e Estatística,ESTATISTICA,4,83,5
8563,6,Desenho Técnico,DES. TÉCNICO,2,67,4
8564,3,Empreendedorismo,EMPREED.,4,33,2
8565,1,Manutenção de Notebooks,MANT NOTEBOOKS,4,33,2
8566,3,Tecnologia da Qualidade,TEC QUALIDAD,4,33,2
8567,4,Matemática,MATEMÁTICA,4,67,4
8568,1,Língua Inglesa,INGLÊS,1,50,3
8569,2,Redes de Computadores,REDES,2,100,6
8570,4,História Geral e do Brasil,HISTÓRIA,4,50,3
8571,8,Empreendedorismo,EMPREED.,6,67,4
8572,2,Empreendedorismo,EMPREED.,5,67,4
8573,8,Cálculo Diferencial  e Integral I,CÁLCULO I,1,100,6
8574,2,Cálculo Diferencial  e Integral I,CÁLCULO I,2,100,6
8432,4,Projetos Elétricos,PROJ ELÉTRIC,2,83,3
8481,1,Matemática,MATEMÁTICA,2,67,3
